Question,OptionA,OptionB,OptionC,OptionD,Answer
"What is AI automation?","Using artificial intelligence to perform tasks automatically without human intervention","Manual execution of repetitive tasks","A type of database management system","A method for storing data","A"
"Which technology is commonly used in AI automation for decision making?","Machine Learning","Spreadsheet formulas","Manual rulebooks","Static HTML pages","A"
"What is the primary benefit of AI automation in business processes?","Increased manual workload","Improved efficiency and reduced human effort","Higher data redundancy","Slower processing time","B"
"Which of the following is an example of AI automation?","Automated email spam filtering","Writing code manually","Sorting papers physically","Using a calculator","A"
"What role do machine learning models play in AI automation?","They enable systems to learn patterns and make predictions automatically","They store files in databases","They encrypt network traffic","They compress images","A"
"Which industry widely uses AI automation for customer service?","Healthcare","Retail","Banking","All of the above","D"
"What is Robotic Process Automation (RPA)?","A type of robot used in factories","Software that automates repetitive digital tasks","A database management tool","A programming language","B"
"How does AI automation improve data analysis?","By reducing the need for computers","By automatically identifying patterns and insights from large datasets","By deleting unnecessary data","By storing data offline","B"
"What is a chatbot in the context of AI automation?","A hardware device","A software program that simulates human conversation","A database server","A network protocol","B"
"What is one challenge of implementing AI automation?","High initial setup cost and integration complexity","Too little computing power available","Lack of programming languages","Absence of internet access","A"
