Question,OptionA,OptionB,OptionC,OptionD,Answer
"What is the primary objective of Information Retrieval (IR)?","To store data efficiently","To retrieve relevant information from large datasets","To replace DBMS systems","To provide network security","B"
"Which of the following is NOT a key function of an Information Retrieval system?","Indexing","Query processing","Data encryption","Ranking","C"
"How does Information Retrieval (IR) differ from Database Management Systems (DBMS)?","IR deals with structured data, while DBMS deals with unstructured data","DBMS deals with structured data, while IR deals with unstructured or semi-structured data","Both handle only structured data","IR is faster than DBMS in all cases","B"
"Which of the following is an application of Information Retrieval?","Search engines","Recommender systems","Digital libraries","All of the above","D"
"Which of the following is a major challenge in Information Retrieval?","Indexing large-scale data efficiently","Query understanding","Ranking results based on relevance","All of the above","D"
"Which system can still return useful results even if the query contains spelling mistakes?","Data Retrieval system","File management system","Information Retrieval system","Transaction processing system","C"
"How are results typically returned in Information Retrieval systems?","In the order they are stored","In chronological order","In random order","Ranked by relevance score","D"
"Which type of data is primarily handled by Information Retrieval systems?","Relational tables","Structured numerical data","Unstructured text documents","Indexed database records","C"
"Information lookup is best described as:","Long-term research","Learning a new topic","Retrieving a simple fact","Exploring many sources","C"
"Exploratory search is mainly used for:","Finding a phone number","Deep learning and understanding","Typing a website name","Checking spelling","B"
"Who introduced the distinction between information lookup and exploratory search?","Claude Shannon","Gary Marchionini","Tim Berners-Lee","Peter Norvig","B"
"The classic model of information seeking assumes:","User goals change frequently","User need is static","Search is automatic","Search is random","B"
"Information Foraging Theory compares users to:","Teachers","Librarians","Animals searching for food","Computers","C"
"Web directories are:","Automatically indexed lists","Human-curated category lists","AI-generated clusters","Browser bookmarks","B"
"Why did web directories decline?","Too slow internet","Too many websites to manage manually","Users hated categories","Legal issues","B"
"Boolean operators include:","HTTP, FTP","AND, OR, NOT","JPG, PNG","RAM, ROM","B"
"AltaVista is best described as:","A web directory","A social network","An early web search engine","A browser","C"
"Dynamic query suggestions are:","Only spell check","Only filters","Real-time changing suggestions while typing","Static help text","C"
"SERP stands for:","Search Engine Ranking Process","Search Engine Results Page","System Error Recovery Page","Search Engine Report Panel","B"
"In the Boolean Retrieval Model, term weights are usually:","Continuous values","Probabilistic values","Binary (0 or 1)","TF-IDF values","C"
"Which Boolean operator retrieves documents containing at least one of the query terms?","AND","OR","NOT","XOR","B"
"TF-IDF weight is high when term is:","Rare in document","Rare in collection and frequent in document","Frequent in all documents","Only in query","B"
"IDF increases when term is:","Common","Rare","Stop word","Repeated in query","B"
"Main similarity measure used in Vector Model is:","Euclidean distance","Cosine similarity","Manhattan distance","Jaccard similarity","B"
"RAG combines:","Boolean + TF-IDF","Retrieval + Generation","MAP + MRR","BM25 + Skip pointers","B"
"MRR focuses on:","All relevant documents","Graded relevance","Position of first relevant document","Total retrieved documents","C"
